orgyear,orgtype,orgid,orgchapter,rowid,rowname,rowlevel,rowparent,rozpocet,pozmenach,skutecnost
2010,chapter,361,361,0,Akademie věd České republiky,0,None,5157946,5160162,5026580
2010,chapter,361,361,1,Běžné výdaje,tree-depth-1,0,4646752,4129554,4073121
2010,chapter,361,361,2,Neinvestiční nákupy a související výdaje,tree-depth-2,1,23279,34836,32762
2010,chapter,361,361,3,Nákup materiálu,tree-depth-3,2,3280,1102,844
2010,chapter,361,361,4,Drobný hmotný dlouhodobý majetek,tree-depth-4,3,1419,359,328
2010,chapter,361,361,5,"Knihy, učební pomůcky a tisk",tree-depth-4,3,592,393,230
2010,chapter,361,361,6,Nákup materiálu jinde nezařazený,tree-depth-4,3,1269,350,285
2010,chapter,361,361,7,Nákup služeb,tree-depth-3,2,13215,22600,21888
2010,chapter,361,361,8,"Konzultační, poradenské a právní služby",tree-depth-4,7,530,546,545
2010,chapter,361,361,9,Nájemné,tree-depth-4,7,1725,128,78
2010,chapter,361,361,10,Nákup ostatních služeb,tree-depth-4,7,9734,7457,7174
2010,chapter,361,361,11,Služby peněžních ústavů,tree-depth-4,7,340,420,147
2010,chapter,361,361,12,Služby pošt,tree-depth-4,7,7,4,0
2010,chapter,361,361,13,Služby školení a vzdělávání,tree-depth-4,7,187,235,229
2010,chapter,361,361,14,Služby telekomunikací a radiokomunikací,tree-depth-4,7,692,13810,13678
2010,chapter,361,361,15,Služby zpracování dat,tree-depth-4,7,0,0,36
2010,chapter,361,361,16,"Nákup vody, paliv a energie",tree-depth-3,2,5205,1319,1187
2010,chapter,361,361,17,Elektrická energie,tree-depth-4,16,2330,640,628
2010,chapter,361,361,18,Pohonné hmoty a maziva,tree-depth-4,16,0,4,3
2010,chapter,361,361,19,Studená voda,tree-depth-4,16,955,95,69
2010,chapter,361,361,20,Teplo,tree-depth-4,16,1920,580,487
2010,chapter,361,361,21,Ostatní nákupy,tree-depth-3,2,1509,9695,8781
2010,chapter,361,361,22,Cestovné (tuzemské i zahraniční),tree-depth-4,21,717,8698,8249
2010,chapter,361,361,23,Ostatní nákupy jinde nezařazené,tree-depth-4,21,7,10,1
2010,chapter,361,361,24,Pohoštění,tree-depth-4,21,635,737,422
2010,chapter,361,361,25,Účastnické poplatky na konference,tree-depth-4,21,150,250,109
2010,chapter,361,361,26,"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary",tree-depth-3,2,70,120,64
2010,chapter,361,361,27,Věcné dary,tree-depth-4,26,70,120,64
2010,chapter,361,361,28,Neinvestiční transfery do zahraničí,tree-depth-2,1,2800,4994,4994
2010,chapter,361,361,29,Ostatní neinvestiční transfery do zahraničí,tree-depth-3,28,2800,4994,4994
2010,chapter,361,361,30,Ostatní neinvestiční transfery do zahraničí,tree-depth-4,29,2800,4994,4994
2010,chapter,361,361,31,Neinvestiční transfery obyvatelstvu,tree-depth-2,1,860,2505,2488
2010,chapter,361,361,32,Náhrady placené obyvatelstvu,tree-depth-3,31,70,70,53
2010,chapter,361,361,33,Náhrady mezd v době nemoci,tree-depth-4,32,70,70,53
2010,chapter,361,361,34,Ostatní neinvestiční transfery obyvatelstvu,tree-depth-3,31,790,2435,2435
2010,chapter,361,361,35,Neinvestiční transfery obyvatelstvu nemající charakter daru,tree-depth-4,34,790,2435,2435
2010,chapter,361,361,36,Neinvestiční transfery soukromoprávním subjektům,tree-depth-2,1,49500,50500,50457
2010,chapter,361,361,37,Neinvestiční transfery neziskovým a podobným organizacím,tree-depth-3,36,6712,7728,7685
2010,chapter,361,361,38,Neinvestiční transfery občanským sdružením,tree-depth-4,37,5500,6300,6257
2010,chapter,361,361,39,Ostatní neinvestiční transfery neziskovým a podobným organizacím,tree-depth-4,37,1212,1428,1428
2010,chapter,361,361,40,Neinvestiční transfery podnikatelským subjektům,tree-depth-3,36,42788,42772,42772
2010,chapter,361,361,41,Neinvestiční transfery nefinančním podnikatelskýmsubjektům-fyzickým osobám,tree-depth-4,40,0,67,67
2010,chapter,361,361,42,Ostatní neinvestiční transfery podnikatelským subjektům,tree-depth-4,40,42788,42705,42705
2010,chapter,361,361,43,Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu,tree-depth-2,1,4529184,3995218,3941883
2010,chapter,361,361,44,Neinvestiční transfery příspěvkovým a podobným organizacím,tree-depth-3,43,4528631,3994661,3941307
2010,chapter,361,361,45,Neinvestiční transfery cizím příspěvkovým organizacím,tree-depth-4,44,11656,11656,11806
2010,chapter,361,361,46,Neinvestiční transfery veřejným výzkumným institucím,tree-depth-4,44,4353063,3819942,3766218
